#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17.",Flexible bronchofiberscope,Keio J Med,1968,17,,,,,Ikeda S; Yanai N; Ishikawa S
189,"Guo YL, Chen YQ, Wang K. Accuracy of BAL galactomannan in diagnosing invasive aspergillosis: a bivariate metaanalysis and systematic review. Chest. 2010;138:190.",Accuracy of BAL galactomannan in diagnosing invasive aspergillosis: a bivariate metaanalysis and systematic review,Chest,2010,138,,190,,,Guo YL; Chen YQ; Wang K
190,"Meersseman W, Lagrou K, Maertens J. Galactomannan in bronchoalveolar lavage fluid: a tool for diagnosing aspergillosis in intensive care unit patients. Am J Respir Crit Care Med. 2008;177:191.",Galactomannan in bronchoalveolar lavage fluid: a tool for diagnosing aspergillosis in intensive care unit patients,Am J Respir Crit Care Med,2008,177,,191,,,Meersseman W; Lagrou K; Maertens J
191,"Mattei D, Rapezzi D, Mordini N. False-positive Aspergillus galactomannan enzyme-linked immunosorbent assay results in vivo during amoxicillin-clavulanic acid treatment. J Clin Microbiol. 2004;42:192.",False-positive Aspergillus galactomannan enzyme-linked immunosorbent assay results in vivo during amoxicillin-clavulanic acid treatment,J Clin Microbiol,2004,42,,192,,,Mattei D; Rapezzi D; Mordini N
192,"Adam O, Auperin A, Wilquin F. Treatment with piperacillin-tazobactam and false-positive Aspergillus galactomannan antigen test results for patients with hematological malignancies. Clin Infect Dis. 2004;38:193.",Treatment with piperacillin-tazobactam and false-positive Aspergillus galactomannan antigen test results for patients with hematological malignancies,Clin Infect Dis,2004,38,,193,,,Adam O; Auperin A; Wilquin F
193,"Viscoli C, Machetti M, Cappellano P. False-positive galactomannan platelia Aspergillus test results for patients receiving piperacillin-tazobactam. Clin Infect Dis. 2004;38:194.",False-positive galactomannan platelia Aspergillus test results for patients receiving piperacillin-tazobactam,Clin Infect Dis,2004,38,,194,,,Viscoli C; Machetti M; Cappellano P
194,"Aubry A, Porcher R, Bottero J. Occurrence and kinetics of false-positive Aspergillus galactomannan test results following treatment with beta-lactam antibiotics in patients with hematological disorders. J Clin Microbiol. 2006;44:195.",Occurrence and kinetics of false-positive Aspergillus galactomannan test results following treatment with beta-lactam antibiotics in patients with hematological disorders,J Clin Microbiol,2006,44,,195,,,Aubry A; Porcher R; Bottero J
195,"Luong ML, Clancy CJ, Vadnerkar A. Comparison of an Aspergillus real-time polymerase chain reaction assay with galactomannan testing of bronchoalvelolar lavage fluid for the diagnosis of invasive pulmonary aspergillosis in lung transplant recipients. Clin Infect Dis. None;52:196.",Comparison of an Aspergillus real-time polymerase chain reaction assay with galactomannan testing of bronchoalvelolar lavage fluid for the diagnosis of invasive pulmonary aspergillosis in lung transplant recipients,Clin Infect Dis,,52,,196,,,Luong ML; Clancy CJ; Vadnerkar A
196,"Musher B, Fredricks D, Leisenring W. Aspergillus galactomannan enzyme immunoassay and quantitative PCR for diagnosis of invasive aspergillosis with bronchoalveolar lavage fluid. J Clin Microbiol. 2004;42:197.",Aspergillus galactomannan enzyme immunoassay and quantitative PCR for diagnosis of invasive aspergillosis with bronchoalveolar lavage fluid,J Clin Microbiol,2004,42,,197,,,Musher B; Fredricks D; Leisenring W
197,"Lewin SR, Hoy J, Crowe SM. The role of bronchoscopy in the diagnosis and treatment of pulmonary disease in HIV-infected patients. Aust N Z J Med. 1995;25:198.",The role of bronchoscopy in the diagnosis and treatment of pulmonary disease in HIV-infected patients,Aust N Z J Med,1995,25,,198,,,Lewin SR; Hoy J; Crowe SM
198,"Malabonga VM, Basti J, Kamholz SL. Utility of bronchoscopic sampling techniques for cryptococcal disease in AIDS. Chest. 1991;99:199.",Utility of bronchoscopic sampling techniques for cryptococcal disease in AIDS,Chest,1991,99,,199,,,Malabonga VM; Basti J; Kamholz SL
199,"Dugan JM, Avitabile AM, Rossman MD. Diagnosis of Pneumocystis carinii pneumonia by cytologic evaluation of Papanicolaou-stained bronchial specimens. Diagn Cytopathol. 1988;4:200.",Diagnosis of Pneumocystis carinii pneumonia by cytologic evaluation of Papanicolaou-stained bronchial specimens,Diagn Cytopathol,1988,4,,200,,,Dugan JM; Avitabile AM; Rossman MD
200,"Hartman B, Koss M, Hui A. Pneumocystis carinii pneumonia in the acquired immunodeficiency syndrome (AIDS). Diagnosis with bronchial brushings, biopsy, and bronchoalveolar lavage. Chest. 1985;87:201.","Pneumocystis carinii pneumonia in the acquired immunodeficiency syndrome (AIDS). Diagnosis with bronchial brushings, biopsy, and bronchoalveolar lavage",Chest,1985,87,,201,,,Hartman B; Koss M; Hui A
201,"Albelda SM, Talbot GH, Gerson SL. Role of fiberoptic bronchoscopy in the diagnosis of invasive pulmonary aspergillosis in patients with acute leukemia. Am J Med. 1984;76:202.",Role of fiberoptic bronchoscopy in the diagnosis of invasive pulmonary aspergillosis in patients with acute leukemia,Am J Med,1984,76,,202,,,Albelda SM; Talbot GH; Gerson SL
202,"Lim WS, Baudouin SV, George RC. BTS guidelines for the management of community acquired pneumonia in adults: update 2009. Thorax. 2009;64(Suppl 3).",BTS guidelines for the management of community acquired pneumonia in adults: update 2009,Thorax,2009,64,Suppl 3,,,,Lim WS; Baudouin SV; George RC
203,"Mandell LA, Wunderink RG, Anzueto A. Infectious Diseases Society of America/American Thoracic Society consensus guidelines on the management of community-acquired pneumonia in adults. Clin Infect Dis. 2007;44(Suppl 2):204.",Infectious Diseases Society of America/American Thoracic Society consensus guidelines on the management of community-acquired pneumonia in adults,Clin Infect Dis,2007,44,Suppl 2,204,,,Mandell LA; Wunderink RG; Anzueto A
204,"Gibson SP, Weir DC, Burge PS. A prospective audit of the value of fibre optic bronchoscopy in adults admitted with community acquired pneumonia. Respir Med. 1993;87:205.",A prospective audit of the value of fibre optic bronchoscopy in adults admitted with community acquired pneumonia,Respir Med,1993,87,,205,,,Gibson SP; Weir DC; Burge PS
205,"Dikensoy O, Usalan C, Filiz A. Foreign body aspiration: clinical utility of flexible bronchoscopy. Postgrad Med J. 2002;78:206.",Foreign body aspiration: clinical utility of flexible bronchoscopy,Postgrad Med J,2002,78,,206,,,Dikensoy O; Usalan C; Filiz A
206,"Dasgupta KS, Mundada PS, Soni N. Diagnostic role of fibreoptic bronchoscopy in pulmonary tuberculosis. Indian J Otolaryngol Head Neck Surg. 2000;52:207.",Diagnostic role of fibreoptic bronchoscopy in pulmonary tuberculosis,Indian J Otolaryngol Head Neck Surg,2000,52,,207,,,Dasgupta KS; Mundada PS; Soni N
207,"Jaiswal AK, Kulpati DD, Jain NK. Role of bronchoscopy in the early diagnosis of suspected smear negative cases of pulmonary tuberculosis. Ind J Tub. 1989;36:208.",Role of bronchoscopy in the early diagnosis of suspected smear negative cases of pulmonary tuberculosis,Ind J Tub,1989,36,,208,,,Jaiswal AK; Kulpati DD; Jain NK
208,"De Gracia J, Curull V, Vidal R. Diagnostic value of bronchoalveolar lavage in suspected pulmonary tuberculosis. Chest. 1988;93:209.",Diagnostic value of bronchoalveolar lavage in suspected pulmonary tuberculosis,Chest,1988,93,,209,,,De Gracia J; Curull V; Vidal R
209,"Bachh A, Gupta A, Haq R, I. Diagnosing sputum/smear-negative pulmonary tuberculosis: does fibre-optic bronchoscopy play a significant role. Lung India. 2010;27:210.",Diagnosing sputum/smear-negative pulmonary tuberculosis: does fibre-optic bronchoscopy play a significant role,Lung India,2010,27,,210,,,Bachh A; Gupta A; Haq R; I
210,"Bartlett JG, Alexander J, Mayhew J. Should fiberoptic bronchoscopy aspirates be cultured?. Am Rev Respir Dis. 1976;114:211.",Should fiberoptic bronchoscopy aspirates be cultured?,Am Rev Respir Dis,1976,114,,211,,,Bartlett JG; Alexander J; Mayhew J
211,"Wimberley N, Faling LJ, Bartlett JG. A fiberoptic bronchoscopy technique to obtain uncontaminated lower airway secretions for bacterial culture. Am Rev Respir Dis. 1979;119:212.",A fiberoptic bronchoscopy technique to obtain uncontaminated lower airway secretions for bacterial culture,Am Rev Respir Dis,1979,119,,212,,,Wimberley N; Faling LJ; Bartlett JG
212,"Manali E, Papadopoulos A, Tsiodras S. The impact on community acquired pneumonia empirical therapy of diagnostic bronchoscopic techniques. Scand J Infect Dis. 2008;40:213.",The impact on community acquired pneumonia empirical therapy of diagnostic bronchoscopic techniques,Scand J Infect Dis,2008,40,,213,,,Manali E; Papadopoulos A; Tsiodras S
213,"Jimenez P, Saldias F, Meneses M. Diagnostic fiberoptic bronchoscopy in patients with community-acquired pneumonia. Comparison between bronchoalveolar lavage and telescoping plugged catheter cultures. Chest. 1993;103:214.",Diagnostic fiberoptic bronchoscopy in patients with community-acquired pneumonia. Comparison between bronchoalveolar lavage and telescoping plugged catheter cultures,Chest,1993,103,,214,,,Jimenez P; Saldias F; Meneses M
214,"Ortqvist A, Kalin M, Lejdeborn L. Diagnostic fiberoptic bronchoscopy and protected brush culture in patients with community-acquired pneumonia. Chest. 1990;97:215.",Diagnostic fiberoptic bronchoscopy and protected brush culture in patients with community-acquired pneumonia,Chest,1990,97,,215,,,Ortqvist A; Kalin M; Lejdeborn L
215,"Jimenez P, Meneses M, Saldias F. Pneumococcal antigen detection in bronchoalveolar lavage fluid from patients with pneumonia. Thorax. 1994;49:216.",Pneumococcal antigen detection in bronchoalveolar lavage fluid from patients with pneumonia,Thorax,1994,49,,216,,,Jimenez P; Meneses M; Saldias F
216,"Jacobs JA, Stobberingh EE, Cornelissen EI. Detection of Streptococcus pneumoniae antigen in bronchoalveolar lavage fluid samples by a rapid immunochromatographic membrane assay. J Clin Microbiol. 2005;43.",Detection of Streptococcus pneumoniae antigen in bronchoalveolar lavage fluid samples by a rapid immunochromatographic membrane assay,J Clin Microbiol,2005,43,,,,,Jacobs JA; Stobberingh EE; Cornelissen EI
217,"Rand D, IA. Thorax. Thorax. 2013;68:217. doi:10.1136/thoraxjnl-2013-203618i31.",Thorax,Thorax,2013,68,,217,10.1136/thoraxjnl-2013-203618i31,,Rand D; IA
218,"Jaulhac B, Nowicki M, Bornstein N. Detection of Legionella spp. in bronchoalveolar lavage fluids by DNA amplification. J Clin Microbiol. 1992;30:218.",Detection of Legionella spp. in bronchoalveolar lavage fluids by DNA amplification,J Clin Microbiol,1992,30,,218,,,Jaulhac B; Nowicki M; Bornstein N
219,"Reischl U, Linde HJ, Lehn N. Direct detection and differentiation of Legionella spp. and Legionella pneumophila in clinical specimens by dual-color real-time PCR and melting curve analysis. J Clin Microbiol. 2002;40:219.",Direct detection and differentiation of Legionella spp. and Legionella pneumophila in clinical specimens by dual-color real-time PCR and melting curve analysis,J Clin Microbiol,2002,40,,219,,,Reischl U; Linde HJ; Lehn N
220,"Charoenratanakul S, Dejsomritrutai W, Chaiprasert A. Diagnostic role of fiberoptic bronchoscopy in suspected smear negative pulmonary tuberculosis. Respir Med. 1995;89:220.",Diagnostic role of fiberoptic bronchoscopy in suspected smear negative pulmonary tuberculosis,Respir Med,1995,89,,220,,,Charoenratanakul S; Dejsomritrutai W; Chaiprasert A
221,"Liam CK, Chen YC, Yap SF. Detection of Mycobacterium tuberculosis in bronchoalveolar lavage from patients with sputum smear-negative pulmonary tuberculosis using a polymerase chain reaction assay. Respirology. 1998;3:221.",Detection of Mycobacterium tuberculosis in bronchoalveolar lavage from patients with sputum smear-negative pulmonary tuberculosis using a polymerase chain reaction assay,Respirology,1998,3,,221,,,Liam CK; Chen YC; Yap SF
222,"Tueller C, Chhajed PN, Buitrago-Tellez C. Value of smear and PCR in bronchoalveolar lavage fluid in culture positive pulmonary tuberculosis. Eur Respir J. 2005;26:222.",Value of smear and PCR in bronchoalveolar lavage fluid in culture positive pulmonary tuberculosis,Eur Respir J,2005,26,,222,,,Tueller C; Chhajed PN; Buitrago-Tellez C
223,"Jafari C, Thijsen S, Sotgiu G. Bronchoalveolar lavage enzyme-linked immunospot for a rapid diagnosis of tuberculosis: a Tuberculosis Network European Trials group study. Am J Respir Crit Care Med. 2009;180:223.",Bronchoalveolar lavage enzyme-linked immunospot for a rapid diagnosis of tuberculosis: a Tuberculosis Network European Trials group study,Am J Respir Crit Care Med,2009,180,,223,,,Jafari C; Thijsen S; Sotgiu G
224,"Jafari C, Ernst M, Kalsdorf B. Rapid diagnosis of smear-negative tuberculosis by bronchoalveolar lavage enzyme-linked immunospot. Am J Respir Crit Care Med. 2006;174:224.",Rapid diagnosis of smear-negative tuberculosis by bronchoalveolar lavage enzyme-linked immunospot,Am J Respir Crit Care Med,2006,174,,224,,,Jafari C; Ernst M; Kalsdorf B
225,"Fujii H, Ishihara J, Fukaura A. Early diagnosis of tuberculosis by fibreoptic bronchoscopy. Tuber Lung Dis. 1992;73:225.",Early diagnosis of tuberculosis by fibreoptic bronchoscopy,Tuber Lung Dis,1992,73,,225,,,Fujii H; Ishihara J; Fukaura A
226,"Brimacombe J, Dunbar-Reid K. The effect of introducing fibreoptic bronchoscopes on gas flow in laryngeal masks and tracheal tubes. Anaesthesia. 1996;51:226.",The effect of introducing fibreoptic bronchoscopes on gas flow in laryngeal masks and tracheal tubes,Anaesthesia,1996,51,,226,,,Brimacombe J; Dunbar-Reid K
227,"Haenel JB, Moore FA, Moore EE. Efficacy of selective intrabronchial air insufflation in acute lobar collapse. Am J Surg. 1992;164:227.",Efficacy of selective intrabronchial air insufflation in acute lobar collapse,Am J Surg,1992,164,,227,,,Haenel JB; Moore FA; Moore EE
228,"Harada K, Mutsuda T, Saoyama N. Re-expansion of refractory atelectasis using a bronchofiberscope with a balloon cuff. Chest. 1983;84:228.",Re-expansion of refractory atelectasis using a bronchofiberscope with a balloon cuff,Chest,1983,84,,228,,,Harada K; Mutsuda T; Saoyama N
229,"Lee TS, Wright BD. Selective insufflation of collapsed lung with fiberoptic bronchoscope and Swan-Ganz catheter. Intensive Care Med. 1981;7:229.",Selective insufflation of collapsed lung with fiberoptic bronchoscope and Swan-Ganz catheter,Intensive Care Med,1981,7,,229,,,Lee TS; Wright BD
230,"Tsao TC, Tsai YH, Lan RS. Treatment for collapsed lung in critically ill patients. Selective intrabronchial air insufflation using the fiberoptic bronchoscope. Chest. 1990;97:230.",Treatment for collapsed lung in critically ill patients. Selective intrabronchial air insufflation using the fiberoptic bronchoscope,Chest,1990,97,,230,,,Tsao TC; Tsai YH; Lan RS
231,"Tabboush ZS, Ayash RH, Badran HM. When fiberoptic bronchoscopy is indicated in the management of postoperative atelectasis. Acta Anaesthesiol Scand. 1998;42:231.",When fiberoptic bronchoscopy is indicated in the management of postoperative atelectasis,Acta Anaesthesiol Scand,1998,42,,231,,,Tabboush ZS; Ayash RH; Badran HM
232,"Jaworski A, Goldberg SK, Walkenstein MD. Utility of immediate postlobectomy fiberoptic bronchoscopy in preventing atelectasis. Chest. 1988;94:232.",Utility of immediate postlobectomy fiberoptic bronchoscopy in preventing atelectasis,Chest,1988,94,,232,,,Jaworski A; Goldberg SK; Walkenstein MD
233,"Dupree HJ, Lewejohann JC, Gleiss J. Fiberoptic bronchoscopy of intubated patients with life-threatening hemoptysis. World J Surg. 2001;25:233.",Fiberoptic bronchoscopy of intubated patients with life-threatening hemoptysis,World J Surg,2001,25,,233,,,Dupree HJ; Lewejohann JC; Gleiss J
234,"Khalil A, Soussan M, Mangiapan G. Utility of high-resolution chest CT scan in the emergency management of haemoptysis in the intensive care unit: severity, localization and aetiology. Br J Radiol. 2007;80:234.","Utility of high-resolution chest CT scan in the emergency management of haemoptysis in the intensive care unit: severity, localization and aetiology",Br J Radiol,2007,80,,234,,,Khalil A; Soussan M; Mangiapan G
235,"Baigelman W, Bellin S, Cupples LA. Bacteriologic assessment of the lower respiratory tract in intubated patients. Crit Care Med. 1986;14:235.",Bacteriologic assessment of the lower respiratory tract in intubated patients,Crit Care Med,1986,14,,235,,,Baigelman W; Bellin S; Cupples LA
236,"Barreiro B, Dorca J, Manresa F. Protected bronchoalveolar lavage in the diagnosis of ventilator-associated pneumonia. Eur Respir J. 1996;9:236.",Protected bronchoalveolar lavage in the diagnosis of ventilator-associated pneumonia,Eur Respir J,1996,9,,236,,,Barreiro B; Dorca J; Manresa F
237,"Bello S, Tajada A, Chacon E. Blind' protected specimen brushing versus bronchoscopic techniques in the aetiolological diagnosis of ventilator-associated pneumonia. Eur Respir J. 1996;9:237.",Blind' protected specimen brushing versus bronchoscopic techniques in the aetiolological diagnosis of ventilator-associated pneumonia,Eur Respir J,1996,9,,237,,,Bello S; Tajada A; Chacon E
238,"Casetta M, Blot F, Antoun S. Diagnosis of nosocomial pneumonia in cancer patients undergoing mechanical ventilation: a prospective comparison of the plugged telescoping catheter with the protected specimen brush. Chest. 1999;115:238.",Diagnosis of nosocomial pneumonia in cancer patients undergoing mechanical ventilation: a prospective comparison of the plugged telescoping catheter with the protected specimen brush,Chest,1999,115,,238,,,Casetta M; Blot F; Antoun S
239,"Humphreys H, Winter R, Baker M. Comparison of bronchoalveolar lavage and catheter lavage to confirm ventilator-associated lower respiratory tract infection. J Med Microbiol. 1996;45:239.",Comparison of bronchoalveolar lavage and catheter lavage to confirm ventilator-associated lower respiratory tract infection,J Med Microbiol,1996,45,,239,,,Humphreys H; Winter R; Baker M
240,"Jorda R, Parras F, Ibanez J. Diagnosis of nosocomial pneumonia in mechanically ventilated patients by the blind protected telescoping catheter. Intensive Care Med. 1993;19:240.",Diagnosis of nosocomial pneumonia in mechanically ventilated patients by the blind protected telescoping catheter,Intensive Care Med,1993,19,,240,,,Jorda R; Parras F; Ibanez J
241,"Jourdain B, Novara A, Ml J. Role of quantitative cultures of endotracheal aspirates in the diagnosis of nosocomial pneumonia. Am J Respir Crit Care Med. 1995;152:241.",Role of quantitative cultures of endotracheal aspirates in the diagnosis of nosocomial pneumonia,Am J Respir Crit Care Med,1995,152,,241,,,Jourdain B; Novara A; Ml J
242,"Kirtland SH, Corley DE, Winterbauer RH. The diagnosis of ventilator-associated pneumonia: a comparison of histologic, microbiologic, and clinical criteria. Chest. 1997;112:242.","The diagnosis of ventilator-associated pneumonia: a comparison of histologic, microbiologic, and clinical criteria",Chest,1997,112,,242,,,Kirtland SH; Corley DE; Winterbauer RH
243,"Lambert RS, Vereen LE, George RB. Comparison of tracheal aspirates and protected brush catheter specimens for identifying pathogenic bacteria in mechanically ventilated patients. Am J Med Sci. 1989;297:243.",Comparison of tracheal aspirates and protected brush catheter specimens for identifying pathogenic bacteria in mechanically ventilated patients,Am J Med Sci,1989,297,,243,,,Lambert RS; Vereen LE; George RB
244,"Leal-Noval SR, Alfaro-Rodriguez E, Murillo-Cabeza F. Diagnostic value of the blind brush in mechanically ventilated patients with nosocomial pneumonia. Intensive Care Med. 1992;18:244.",Diagnostic value of the blind brush in mechanically ventilated patients with nosocomial pneumonia,Intensive Care Med,1992,18,,244,,,Leal-Noval SR; Alfaro-Rodriguez E; Murillo-Cabeza F
245,"Marquette CH, Herengt F, Mathieu D. Diagnosis of pneumonia in mechanically ventilated patients. Repeatability of the protected specimen brush. Am Rev Respir Dis. 1993;147:245.",Diagnosis of pneumonia in mechanically ventilated patients. Repeatability of the protected specimen brush,Am Rev Respir Dis,1993,147,,245,,,Marquette CH; Herengt F; Mathieu D
246,"Marquette CH, Herengt F, Saulnier F. Protected specimen brush in the assessment of ventilator-associated pneumonia. Selection of a certain lung segment for bronchoscopic sampling is unnecessary. Chest. 1993;103:246.",Protected specimen brush in the assessment of ventilator-associated pneumonia. Selection of a certain lung segment for bronchoscopic sampling is unnecessary,Chest,1993,103,,246,,,Marquette CH; Herengt F; Saulnier F
247,"Pham LH, Brun-Buisson C, Legrand P. Diagnosis of nosocomial pneumonia in mechanically ventilated patients. Comparison of a plugged telescoping catheter with the protected specimen brush. Am Rev Respir Dis. 1991;143(5 Pt 1):247.",Diagnosis of nosocomial pneumonia in mechanically ventilated patients. Comparison of a plugged telescoping catheter with the protected specimen brush,Am Rev Respir Dis,1991,143,5 Pt 1,247,,,Pham LH; Brun-Buisson C; Legrand P
248,"Potgieter PD, Hammond JM. Etiology and diagnosis of pneumonia requiring ICU admission. Chest. 1992;101:248.",Etiology and diagnosis of pneumonia requiring ICU admission,Chest,1992,101,,248,,,Potgieter PD; Hammond JM
249,"Pugin J, Auckenthaler R, Mili N. Diagnosis of ventilator-associated pneumonia by bacteriologic analysis of bronchoscopic and nonbronchoscopic 'blind' bronchoalveolar lavage fluid. Am Rev Respir Dis. 1991;143(5 Pt 1):249.",Diagnosis of ventilator-associated pneumonia by bacteriologic analysis of bronchoscopic and nonbronchoscopic 'blind' bronchoalveolar lavage fluid,Am Rev Respir Dis,1991,143,5 Pt 1,249,,,Pugin J; Auckenthaler R; Mili N
250,"Rodriguez De Castro F, Sole-Violan J, Leon A, A. Do quantitative cultures of protected brush specimens modify the initial empirical therapy in ventilated patients with suspected pneumonia?. Eur Respir J. 1996;9:250.",Do quantitative cultures of protected brush specimens modify the initial empirical therapy in ventilated patients with suspected pneumonia?,Eur Respir J,1996,9,,250,,,Rodriguez De Castro F; Sole-Violan J; Leon A; A
251,"Rouby JJ, Rossignon MD, Nicolas MH. A prospective study of protected bronchoalveolar lavage in the diagnosis of nosocomial pneumonia. Anesthesiology. 1989;71:251.",A prospective study of protected bronchoalveolar lavage in the diagnosis of nosocomial pneumonia,Anesthesiology,1989,71,,251,,,Rouby JJ; Rossignon MD; Nicolas MH
252,"Sanchez-Nieto JM, Torres A, Garcia-Cordoba F. Impact of invasive and noninvasive quantitative culture sampling on outcome of ventilator-associated pneumonia: a pilot study. Am J Respir Crit Care Med. 1998;157:252.",Impact of invasive and noninvasive quantitative culture sampling on outcome of ventilator-associated pneumonia: a pilot study,Am J Respir Crit Care Med,1998,157,,252,,,Sanchez-Nieto JM; Torres A; Garcia-Cordoba F
253,"Souweine B, Veber B, Bedos JP. Diagnostic accuracy of protected specimen brush and bronchoalveolar lavage in nosocomial pneumonia: impact of previous antimicrobial treatments. Crit Care Med. 1998;26:253.",Diagnostic accuracy of protected specimen brush and bronchoalveolar lavage in nosocomial pneumonia: impact of previous antimicrobial treatments,Crit Care Med,1998,26,,253,,,Souweine B; Veber B; Bedos JP
254,"Swanson JM, Wood GC, Croce MA. Utility of preliminary bronchoalveolar lavage results in suspected ventilator-associated pneumonia. J Trauma. 2008;65:254.",Utility of preliminary bronchoalveolar lavage results in suspected ventilator-associated pneumonia,J Trauma,2008,65,,254,,,Swanson JM; Wood GC; Croce MA
255,"Timsit JF, Misset B, Francoual S. Is protected specimen brush a reproducible method to diagnose ICU-acquired pneumonia?. Chest. 1993;104:255.",Is protected specimen brush a reproducible method to diagnose ICU-acquired pneumonia?,Chest,1993,104,,255,,,Timsit JF; Misset B; Francoual S
256,"Timsit JF, Misset B, Renaud B. Effect of previous antimicrobial therapy on the accuracy of the main procedures used to diagnose nosocomial pneumonia in patients who are using ventilation. Chest. 1995;108:256.",Effect of previous antimicrobial therapy on the accuracy of the main procedures used to diagnose nosocomial pneumonia in patients who are using ventilation,Chest,1995,108,,256,,,Timsit JF; Misset B; Renaud B
257,"Torres A, El-Ebiary M, Padro L. Validation of different techniques for the diagnosis of ventilator-associated pneumonia. Comparison with immediate postmortem pulmonary biopsy. Am J Respir Crit Care Med. 1994;149(2 Pt 1):257.",Validation of different techniques for the diagnosis of ventilator-associated pneumonia. Comparison with immediate postmortem pulmonary biopsy,Am J Respir Crit Care Med,1994,149,2 Pt 1,257,,,Torres A; El-Ebiary M; Padro L
258,"Torres A, De La Bellacasa P, Rodriguez-Roisin J, R. Diagnostic value of telescoping plugged catheters in mechanically ventilated patients with bacterial pneumonia using the Metras catheter. Am Rev Respir Dis. 1988;138:258.",Diagnostic value of telescoping plugged catheters in mechanically ventilated patients with bacterial pneumonia using the Metras catheter,Am Rev Respir Dis,1988,138,,258,,,Torres A; De La Bellacasa P; Rodriguez-Roisin J; R
259,"Berton DC, Kalil AC, Cavalcanti M. Quantitative versus qualitative cultures of respiratory secretions for clinical outcomes in patients with ventilator-associated pneumonia. Cochrane Database Syst Rev. 2008;4.",Quantitative versus qualitative cultures of respiratory secretions for clinical outcomes in patients with ventilator-associated pneumonia,Cochrane Database Syst Rev,2008,,4,,,,Berton DC; Kalil AC; Cavalcanti M
260,"Berton DC, Kalil AC, Teixeira PJ. Quantitative versus qualitative cultures of respiratory secretions for clinical outcomes in patients with ventilator-associated pneumonia. Cochrane Database Syst Rev. 2012;1.",Quantitative versus qualitative cultures of respiratory secretions for clinical outcomes in patients with ventilator-associated pneumonia,Cochrane Database Syst Rev,2012,,1,,,,Berton DC; Kalil AC; Teixeira PJ
261,"Pincus PS, Kallenbach JM, Hurwitz MD. Transbronchial biopsy during mechanical ventilation. Crit Care Med. 1987;15:261.",Transbronchial biopsy during mechanical ventilation,Crit Care Med,1987,15,,261,,,Pincus PS; Kallenbach JM; Hurwitz MD
262,"Ghamande S, Rafanan A, Dweik R. Role of transbronchial needle aspiration in patients receiving mechanical ventilation. Chest. 2002;122:262.",Role of transbronchial needle aspiration in patients receiving mechanical ventilation,Chest,2002,122,,262,,,Ghamande S; Rafanan A; Dweik R
263,"Perkins GD, Chatterjie S, Mcauley DF. Role of nonbronchoscopic lavage for investigating alveolar inflammation and permeability in acute respiratory distress syndrome. Crit Care Med. 2006;34:263.",Role of nonbronchoscopic lavage for investigating alveolar inflammation and permeability in acute respiratory distress syndrome,Crit Care Med,2006,34,,263,,,Perkins GD; Chatterjie S; Mcauley DF
264,"Kim YH, Suh GY, Kim MH. Safety and usefulness of bronchoscopy in ventilator-dependent patients with severe thrombocytopenia. Anaesth Intensive Care. 2008;36:264.",Safety and usefulness of bronchoscopy in ventilator-dependent patients with severe thrombocytopenia,Anaesth Intensive Care,2008,36,,264,,,Kim YH; Suh GY; Kim MH
265,"Steinberg KP, Mitchell DR, Maunder RJ. Safety of bronchoalveolar lavage in patients with adult respiratory distress syndrome. Am Rev Respir Dis. 1993;148:265.",Safety of bronchoalveolar lavage in patients with adult respiratory distress syndrome,Am Rev Respir Dis,1993,148,,265,,,Steinberg KP; Mitchell DR; Maunder RJ
266,"Bauer TT, Torres A, Ewig S. Effects of bronchoalveolar lavage volume on arterial oxygenation in mechanically ventilated patients with pneumonia. Intensive Care Med. 2001;27:266.",Effects of bronchoalveolar lavage volume on arterial oxygenation in mechanically ventilated patients with pneumonia,Intensive Care Med,2001,27,,266,,,Bauer TT; Torres A; Ewig S
267,"Hilbert G, Gruson D, Vargas F. Bronchoscopy with bronchoalveolar lavage via the laryngeal mask airway in high-risk hypoxemic immunosuppressed patients. Crit Care Med. 2001;29:267.",Bronchoscopy with bronchoalveolar lavage via the laryngeal mask airway in high-risk hypoxemic immunosuppressed patients,Crit Care Med,2001,29,,267,,,Hilbert G; Gruson D; Vargas F
268,"Klein U, Karzai W, Zimmermann P. Changes in pulmonary mechanics after fiberoptic bronchoalveolar lavage in mechanically ventilated patients. Intensive Care Med. 1998;24:268.",Changes in pulmonary mechanics after fiberoptic bronchoalveolar lavage in mechanically ventilated patients,Intensive Care Med,1998,24,,268,,,Klein U; Karzai W; Zimmermann P
269,"Maitre B, Jaber S, Maggiore SM. Continuous positive airway pressure during fiberoptic bronchoscopy in hypoxemic patients. A randomized double-blind study using a new device. Am J Respir Crit Care Med. 2000;162(3 Pt 1):269.",Continuous positive airway pressure during fiberoptic bronchoscopy in hypoxemic patients. A randomized double-blind study using a new device,Am J Respir Crit Care Med,2000,162,3 Pt 1,269,,,Maitre B; Jaber S; Maggiore SM
270,"Papazian L, Colt HG, Scemama F. Effects of consecutive protected specimen brushing and bronchoalveolar lavage on gas exchange and hemodynamics in ventilated patients. Chest. 1993;104:270.",Effects of consecutive protected specimen brushing and bronchoalveolar lavage on gas exchange and hemodynamics in ventilated patients,Chest,1993,104,,270,,,Papazian L; Colt HG; Scemama F
