#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"F, Killian G. father of bronchoscopy. Arch Otolaryngol. 1965;82.",father of bronchoscopy,Arch Otolaryngol,1965,82,,,,,F; Killian G
152,"Mughal MM, Gildea TR, Murthy S, Pettersson G, Decamp M, Mehta AC. Short-term deployment of self-expanding metallic stents facilitates healing of bronchial dehiscence. Am J Respir Crit Care Med. 2005;172:155.",Short-term deployment of self-expanding metallic stents facilitates healing of bronchial dehiscence,Am J Respir Crit Care Med,2005,172,,155,,,Mughal MM; Gildea TR; Murthy S; Pettersson G; Decamp M; Mehta AC
153,"Majid A, Alape D, Kheir F, Folch E, Ochoa S, Folch A. Shortterm use of uncovered self-expanding metallic airway stents for severe expiratory central airway collapse. Respiration. 2016;92:156.",Shortterm use of uncovered self-expanding metallic airway stents for severe expiratory central airway collapse,Respiration,2016,92,,156,,,Majid A; Alape D; Kheir F; Folch E; Ochoa S; Folch A
154,"Majid A, Kheir F, Chung J, Alape D, Husta B, Oh S. Covered balloon-expanding stents in airway stenosis. J Bronchology Interv Pulmonol. 2017;24:157.",Covered balloon-expanding stents in airway stenosis,J Bronchology Interv Pulmonol,2017,24,,157,,,Majid A; Kheir F; Chung J; Alape D; Husta B; Oh S
155,"Sethi S, Gildea TR, Almeida FA, Cicenia JC, Machuzak MS. Clinical success stenting distal bronchi for ""lobar salvage"" in bronchial stenosis. J Bronchology Interv Pulmonol. 2018;25:158.","Clinical success stenting distal bronchi for ""lobar salvage"" in bronchial stenosis",J Bronchology Interv Pulmonol,2018,25,,158,,,Sethi S; Gildea TR; Almeida FA; Cicenia JC; Machuzak MS
156,"Dutau H, Musani AI, Laroumagne S, Darwiche K, Freitag L, Astoul P. Biodegradable airway stents -bench to bedside: a comprehensive review. Respiration. 2015;90:159.",Biodegradable airway stents -bench to bedside: a comprehensive review,Respiration,2015,90,,159,,,Dutau H; Musani AI; Laroumagne S; Darwiche K; Freitag L; Astoul P
157,"Ant Ón-Pacheco JL, Luna C, García E, Morante R, Tordable C. Initial experience with a new biodegradable airway stent in children: is this the stent we were waiting for?. Pediatr Pulmonol. 2016;51:160.",Initial experience with a new biodegradable airway stent in children: is this the stent we were waiting for?,Pediatr Pulmonol,2016,51,,160,,,Ant Ón-Pacheco JL; Luna C; García E; Morante R; Tordable C
158,"Fuehner T, Suhling H, Greer M, Wiesner O, Dierich M, Warnecke G. Biodegradable stents after lung transplantation. Transpl Int. 2013;26:161.",Biodegradable stents after lung transplantation,Transpl Int,2013,26,,161,,,Fuehner T; Suhling H; Greer M; Wiesner O; Dierich M; Warnecke G
159,"Lischke R, Pozniak J, Vondrys D, Elliott MJ. Novel biodegradable stents in the treatment of bronchial stenosis after lung transplantation. Eur J Cardiothorac Surg. 2011;40:162.",Novel biodegradable stents in the treatment of bronchial stenosis after lung transplantation,Eur J Cardiothorac Surg,2011,40,,162,,,Lischke R; Pozniak J; Vondrys D; Elliott MJ
160,"Lochbihler H, Hoelzl J, Dietz HG. Tissue compatibility and biodegradation of new absorbable stents for tracheal stabilization: an experimental study. J Pediatr Surg. 1997;32:163.",Tissue compatibility and biodegradation of new absorbable stents for tracheal stabilization: an experimental study,J Pediatr Surg,1997,32,,163,,,Lochbihler H; Hoelzl J; Dietz HG
161,"Vondrys D, Elliott MJ, Mclaren CA, Noctor C, Roebuck DJ. First experience with biodegradable airway stents in children. Ann Thorac Surg. 2011;92:164.",First experience with biodegradable airway stents in children,Ann Thorac Surg,2011,92,,164,,,Vondrys D; Elliott MJ; Mclaren CA; Noctor C; Roebuck DJ
162,"Cheng GZ, Folch E, Brik R, Gangadharan S, Mallur P, Wilson JH. Three-dimensional modeled T-tube design and insertion in a patient with tracheal dehiscence. Chest. 2015;148:165.",Three-dimensional modeled T-tube design and insertion in a patient with tracheal dehiscence,Chest,2015,148,,165,,,Cheng GZ; Folch E; Brik R; Gangadharan S; Mallur P; Wilson JH
163,"Gildea TR, Young BP, Machuzak MS. Application of 3D printing for patient-specific silicone stents: 1-year follow-up on 2 patients. Respiration. 2018;96:166.",Application of 3D printing for patient-specific silicone stents: 1-year follow-up on 2 patients,Respiration,2018,96,,166,,,Gildea TR; Young BP; Machuzak MS
164,"Guibert N, Didier A, Moreno B, Mhanna L, Brouchet L, Plat G. Treatment of post-transplant complex airway stenosis with a threedimensional, computer-assisted customized airway stent. Am J Respir Crit Care Med. 2017;195:167.","Treatment of post-transplant complex airway stenosis with a threedimensional, computer-assisted customized airway stent",Am J Respir Crit Care Med,2017,195,,167,,,Guibert N; Didier A; Moreno B; Mhanna L; Brouchet L; Plat G
165,"Guibert N, Moreno B, Plat G, Didier A, Mazieres J, Hermant C. Stenting of complex malignant central-airway obstruction guided by a three-dimensional printed model of the airways. Ann Thorac Surg. 2017;103:168.",Stenting of complex malignant central-airway obstruction guided by a three-dimensional printed model of the airways,Ann Thorac Surg,2017,103,,168,,,Guibert N; Moreno B; Plat G; Didier A; Mazieres J; Hermant C
166,"Kurenov SN, Ionita C, Sammons D, Demmy TL. Three-dimensional printing to facilitate anatomic study, device development, simulation, and planning in thoracic surgery. J Thorac Cardiovasc Surg. 2015;149.","Three-dimensional printing to facilitate anatomic study, device development, simulation, and planning in thoracic surgery",J Thorac Cardiovasc Surg,2015,149,,,,,Kurenov SN; Ionita C; Sammons D; Demmy TL
167,"Tam MD, Laycock SD, Babar JD, Noble J, B. 3-D printouts of the tracheobronchial tree generated from CT images as an aid to management in a case of tracheobronchial chondromalacia caused by relapsing polychondritis. J Radiol Case Rep. 2013;7:170.",3-D printouts of the tracheobronchial tree generated from CT images as an aid to management in a case of tracheobronchial chondromalacia caused by relapsing polychondritis,J Radiol Case Rep,2013,7,,170,,,Tam MD; Laycock SD; Babar JD; Noble J; B
168,"Herth FJ, Becker HD, Ernst A. Ultrasound-guided transbronchial needle aspiration: an experience in 242 patients. Chest. 2003;123:171.",Ultrasound-guided transbronchial needle aspiration: an experience in 242 patients,Chest,2003,123,,171,,,Herth FJ; Becker HD; Ernst A
169,"Vilmann P, Clementsen PF, Colella S, Siemsen M, De Leyn P, Dumonceau JM. Combined endobronchial and esophageal endosonography for the diagnosis and staging of lung cancer: European Society of Gastrointestinal Endoscopy (ESGE) guideline, in cooperation with the European Respiratory Society (ERS) and the European Society of Thoracic Surgeons (ESTS). Endoscopy. 2015;47(1):172.","Combined endobronchial and esophageal endosonography for the diagnosis and staging of lung cancer: European Society of Gastrointestinal Endoscopy (ESGE) guideline, in cooperation with the European Respiratory Society (ERS) and the European Society of Thoracic Surgeons (ESTS)",Endoscopy,2015,47,1,172,,,Vilmann P; Clementsen PF; Colella S; Siemsen M; De Leyn P; Dumonceau JM
170,"Silvestri GA, Gonzalez AV, Jantz MA, Margolis ML, Gould MK, Tanoue LT. Methods for staging non-small cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Methods for staging non-small cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Silvestri GA; Gonzalez AV; Jantz MA; Margolis ML; Gould MK; Tanoue LT
171,"Eapen GA, Shah AM, Lei X, Jimenez CA, Morice RC, Yarmus L. American College of Chest Physicians Quality Improvement Registry, Education, and Evaluation (AQuIRE) Participants. Complications, consequences, and practice patterns of endobronchial ultrasound-guided transbronchial needle aspiration: results of the AQuIRE Registry. Chest. 2013;143:174.","American College of Chest Physicians Quality Improvement Registry, Education, and Evaluation (AQuIRE) Participants. Complications, consequences, and practice patterns of endobronchial ultrasound-guided transbronchial needle aspiration: results of the AQuIRE Registry",Chest,2013,143,,174,,,Eapen GA; Shah AM; Lei X; Jimenez CA; Morice RC; Yarmus L
172,"Wallace MB, Pascual JM, Raimondo M, Woodward TA, Mccomb BL, Crook JE. Minimally invasive endoscopic staging of suspected lung cancer. JAMA. 2008;299:175.",Minimally invasive endoscopic staging of suspected lung cancer,JAMA,2008,299,,175,,,Wallace MB; Pascual JM; Raimondo M; Woodward TA; Mccomb BL; Crook JE
173,"Annema JT, Van Meerbeeck JP, Rintoul RC, Dooms C, Deschepper E, Dekkers OM. Mediastinoscopy vs endosonography for mediastinal nodal staging of lung cancer: a randomized trial. JAMA. 2010;304:176.",Mediastinoscopy vs endosonography for mediastinal nodal staging of lung cancer: a randomized trial,JAMA,2010,304,,176,,,Annema JT; Van Meerbeeck JP; Rintoul RC; Dooms C; Deschepper E; Dekkers OM
174,"Kuijvenhoven JC, Korevaar DA, Tournoy KG, Malfait TL, Dooms C, Rintoul RC. Five-year survival after endosonography vs mediastinoscopy for mediastinal nodal staging of lung cancer. JAMA. 2016;316:177.",Five-year survival after endosonography vs mediastinoscopy for mediastinal nodal staging of lung cancer,JAMA,2016,316,,177,,,Kuijvenhoven JC; Korevaar DA; Tournoy KG; Malfait TL; Dooms C; Rintoul RC
175,"Herth FJ, Eberhardt R, Krasnik M, Ernst A. Endobronchial ultrasoundguided transbronchial needle aspiration of lymph nodes in the radiologically and positron emission tomography-normal mediastinum in patients with lung cancer. Chest. 2008;133:178.",Endobronchial ultrasoundguided transbronchial needle aspiration of lymph nodes in the radiologically and positron emission tomography-normal mediastinum in patients with lung cancer,Chest,2008,133,,178,,,Herth FJ; Eberhardt R; Krasnik M; Ernst A
176,"Bugalho A, De Santis M, Slubowski A, Rozman A, Eberhardt R. Trans-esophageal endobronchial ultrasound-guided needle aspiration (EUS-B-NA): a road map for the chest physician. Pulmonology. 2017;None. doi:10.1016/j.rppnen.2017.10.004.179.",Trans-esophageal endobronchial ultrasound-guided needle aspiration (EUS-B-NA): a road map for the chest physician,Pulmonology,2017,,,,10.1016/j.rppnen.2017.10.004.179,,Bugalho A; De Santis M; Slubowski A; Rozman A; Eberhardt R
177,"Herth F, Ernst A, Schulz M, Becker H. Endobronchial ultrasound reliably differentiates between airway infiltration and compression by tumor. Chest. 2003;123:180.",Endobronchial ultrasound reliably differentiates between airway infiltration and compression by tumor,Chest,2003,123,,180,,,Herth F; Ernst A; Schulz M; Becker H
178,"Saji J, Kurimoto N, Morita K, Nakamura M, Inoue T, Nakamura H. Comparison of 21-gauge and 22-gauge needles for endobronchial ultrasound-guided transbronchial needle aspiration of mediastinal and hilar lymph nodes. J Bronchology Interv Pulmonol. 2011;18:181.",Comparison of 21-gauge and 22-gauge needles for endobronchial ultrasound-guided transbronchial needle aspiration of mediastinal and hilar lymph nodes,J Bronchology Interv Pulmonol,2011,18,,181,,,Saji J; Kurimoto N; Morita K; Nakamura M; Inoue T; Nakamura H
179,"Kinoshita T, Ujiie H, Schwock J, Fujino K, Mcdonald C, Lee CY. Clinical evaluation of the utility of a flexible 19-gauge EBUS-TBNA needle. J Thorac Dis. 2018;10:182.",Clinical evaluation of the utility of a flexible 19-gauge EBUS-TBNA needle,J Thorac Dis,2018,10,,182,,,Kinoshita T; Ujiie H; Schwock J; Fujino K; Mcdonald C; Lee CY
180,"Herth FJ, Morgan RK, Eberhardt R, Ernst A. Endobronchial ultrasound-guided miniforceps biopsy in the biopsy of subcarinal masses in patients with low likelihood of non-small cell lung cancer. Ann Thorac Surg. 2008;85:183.",Endobronchial ultrasound-guided miniforceps biopsy in the biopsy of subcarinal masses in patients with low likelihood of non-small cell lung cancer,Ann Thorac Surg,2008,85,,183,,,Herth FJ; Morgan RK; Eberhardt R; Ernst A
181,"Lee HS, Lee GK, Lee HS, Kim MS, Lee JM, Kim HY. Real-time endobronchial ultrasound-guided transbronchial needle aspiration in mediastinal staging of non-small cell lung cancer: how many aspirations per target lymph node station. Chest. 2008;134:184.",Real-time endobronchial ultrasound-guided transbronchial needle aspiration in mediastinal staging of non-small cell lung cancer: how many aspirations per target lymph node station,Chest,2008,134,,184,,,Lee HS; Lee GK; Lee HS; Kim MS; Lee JM; Kim HY
182,"Sehgal IS, Dhooria S, Aggarwal AN, Agarwal R. Impact of rapid on-site cytological evaluation (ROSE) on the diagnostic yield of transbronchial needle aspiration during mediastinal lymph node sampling: systematic review and meta-analysis. Chest. 2018;153:185.",Impact of rapid on-site cytological evaluation (ROSE) on the diagnostic yield of transbronchial needle aspiration during mediastinal lymph node sampling: systematic review and meta-analysis,Chest,2018,153,,185,,,Sehgal IS; Dhooria S; Aggarwal AN; Agarwal R
183,"Labarca G, Folch E, Jantz M, Mehta HJ, Majid A, Fernandez-Bussy S. Adequacy of samples obtained by endobronchial ultrasound with transbronchial needle aspiration for molecular analysis in patients with non-small cell lung cancer: systematic review and metaanalysis. Ann Am Thorac Soc. 2018;15:186.",Adequacy of samples obtained by endobronchial ultrasound with transbronchial needle aspiration for molecular analysis in patients with non-small cell lung cancer: systematic review and metaanalysis,Ann Am Thorac Soc,2018,15,,186,,,Labarca G; Folch E; Jantz M; Mehta HJ; Majid A; Fernandez-Bussy S
184,"Stevenson T, Powari M, Bowles C. Evolution of a rapid onsite evaluation (ROSE) service for endobronchial ultrasound guided (EBUS) fine needle aspiration (FNA) cytology in a UK hospital: a 7 year audit. Diagn Cytopathol. 2018;46:187.",Evolution of a rapid onsite evaluation (ROSE) service for endobronchial ultrasound guided (EBUS) fine needle aspiration (FNA) cytology in a UK hospital: a 7 year audit,Diagn Cytopathol,2018,46,,187,,,Stevenson T; Powari M; Bowles C
185,"Fujiwara T, Yasufuku K, Nakajima T, Chiyo M, Yoshida S, Suzuki M. The utility of sonographic features during endobronchial ultrasound-guided transbronchial needle aspiration for lymph node staging in patients with lung cancer: a standard endobronchial ultrasound image classification system. Chest. 2010;138:188.",The utility of sonographic features during endobronchial ultrasound-guided transbronchial needle aspiration for lymph node staging in patients with lung cancer: a standard endobronchial ultrasound image classification system,Chest,2010,138,,188,,,Fujiwara T; Yasufuku K; Nakajima T; Chiyo M; Yoshida S; Suzuki M
186,"Wang L, Wu W, Hu Y, Teng J, Zhong R, Han B. Sonographic features of endobronchial ultrasonography predict intrathoracic lymph node metastasis in lung cancer patients. Ann Thorac Surg. 2015;100:189.",Sonographic features of endobronchial ultrasonography predict intrathoracic lymph node metastasis in lung cancer patients,Ann Thorac Surg,2015,100,,189,,,Wang L; Wu W; Hu Y; Teng J; Zhong R; Han B
187,"Fournier C, Dhalluin X, Wallyn F, Machuron F, Bouchindhomme B, Copin MC. Performance of endobronchial ultrasound elastography in the differentiation of malignant and benign mediastinal lymph nodes: results in real-life practice. J Bronchology Interv Pulmonol. 2018;26.",Performance of endobronchial ultrasound elastography in the differentiation of malignant and benign mediastinal lymph nodes: results in real-life practice,J Bronchology Interv Pulmonol,2018,26,,,,,Fournier C; Dhalluin X; Wallyn F; Machuron F; Bouchindhomme B; Copin MC
188,"Brown RH, Wizeman W, Danek C, Mitzner W. Effect of bronchial thermoplasty on airway distensibility. Eur Respir J. 2005;26:192.",Effect of bronchial thermoplasty on airway distensibility,Eur Respir J,2005,26,,192,,,Brown RH; Wizeman W; Danek C; Mitzner W
189,"Pretolani M, Dombret MC, Thabut G, Knap D, Hamidi F, Debray MP. Reduction of airway smooth muscle mass by bronchial thermoplasty in patients with severe asthma. Am J Respir Crit Care Med. 2014;190:193.",Reduction of airway smooth muscle mass by bronchial thermoplasty in patients with severe asthma,Am J Respir Crit Care Med,2014,190,,193,,,Pretolani M; Dombret MC; Thabut G; Knap D; Hamidi F; Debray MP
190,"Chakir J, Haj-Salem I, Gras D, Joubert P, Beaudoin ÈL, Biardel S. Effects of bronchial thermoplasty on airway smooth muscle and collagen deposition in asthma. Ann Am Thorac Soc. 2015;12:194.",Effects of bronchial thermoplasty on airway smooth muscle and collagen deposition in asthma,Ann Am Thorac Soc,2015,12,,194,,,Chakir J; Haj-Salem I; Gras D; Joubert P; Beaudoin ÈL; Biardel S
191,"Pretolani M, Bergqvist A, Thabut G, Dombret MC, Knapp D, Hamidi F. Effectiveness of bronchial thermoplasty in patients with severe refractory asthma: clinical and histopathologic correlations. J Allergy Clin Immunol. 2017;139:195.",Effectiveness of bronchial thermoplasty in patients with severe refractory asthma: clinical and histopathologic correlations,J Allergy Clin Immunol,2017,139,,195,,,Pretolani M; Bergqvist A; Thabut G; Dombret MC; Knapp D; Hamidi F
192,"Hooghe J, Goorsenberg A, Hacken T et al.. TASMA research group. Airway smooth muscle reduction after bronchial thermoplasty in severe asthma correlates with FEV 1. Clin Exp Allergy. 2019;49:196.",TASMA research group. Airway smooth muscle reduction after bronchial thermoplasty in severe asthma correlates with FEV 1,Clin Exp Allergy,2019,49,,196,,,Hooghe J; Goorsenberg A; Hacken T; Weersink N; Roelofs E; Mauad J; T
193,"Cox G, Miller JD, Mcwilliams A, Fitzgerald JM, Lam S. Bronchial thermoplasty for asthma. Am J Respir Crit Care Med. 2006;173:197.",Bronchial thermoplasty for asthma,Am J Respir Crit Care Med,2006,173,,197,,,Cox G; Miller JD; Mcwilliams A; Fitzgerald JM; Lam S
194,"Cox G, Thomson NC, Rubin AS, Niven RM, Corris PA, Siersted HC. Asthma control during the year after bronchial thermoplasty. N Engl J Med. 2007;356:198.",Asthma control during the year after bronchial thermoplasty,N Engl J Med,2007,356,,198,,,Cox G; Thomson NC; Rubin AS; Niven RM; Corris PA; Siersted HC
195,"Pavord ID, Cox G, Thomson NC, Rubin AS, Corris PA, Niven RM. RISA Trial Study Group. Safety and efficacy of bronchial thermoplasty in symptomatic, severe asthma. Am J Respir Crit Care Med. 2007;176:199.","RISA Trial Study Group. Safety and efficacy of bronchial thermoplasty in symptomatic, severe asthma",Am J Respir Crit Care Med,2007,176,,199,,,Pavord ID; Cox G; Thomson NC; Rubin AS; Corris PA; Niven RM
196,"Castro M, Rubin AS, Laviolette M et al.. AIR2 Trial Study Group. Effectiveness and safety of bronchial thermoplasty in the treatment of severe asthma: a multicenter, randomized, double-blind, sham-controlled clinical trial. Am J Respir Crit Care Med. 2010;181:201.","AIR2 Trial Study Group. Effectiveness and safety of bronchial thermoplasty in the treatment of severe asthma: a multicenter, randomized, double-blind, sham-controlled clinical trial",Am J Respir Crit Care Med,2010,181,,201,,,Castro M; Rubin AS; Laviolette M; Fiterman J; Andrade Lima D; Shah M; PL
197,"Chupp G, Laviolette M, Cohn L, Mcevoy C, Bansal S, Shifren A. Other members of the PAS2 Study Group. Long-term outcomes of bronchial thermoplasty in subjects with severe asthma: a comparison of 3-year follow-up results from two prospective multicentre studies. Eur Respir J. 2010;50:203.",Other members of the PAS2 Study Group. Long-term outcomes of bronchial thermoplasty in subjects with severe asthma: a comparison of 3-year follow-up results from two prospective multicentre studies,Eur Respir J,2010,50,,203,,,Chupp G; Laviolette M; Cohn L; Mcevoy C; Bansal S; Shifren A
198,"Valipour A, Herth FJ, Burghuber OC, Criner G, Vergnon JM, Goldin J. Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy. Eur Respir J. 2014;43:204.",Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy,Eur Respir J,2014,43,,204,,,Valipour A; Herth FJ; Burghuber OC; Criner G; Vergnon JM; Goldin J
199,"Ninane V, Geltner C, Bezzi M, Foccoli P, Gottlieb J, Welte T. Multicentre European study for the treatment of advanced emphysema with bronchial valves. Eur Respir J. 2012;39:205.",Multicentre European study for the treatment of advanced emphysema with bronchial valves,Eur Respir J,2012,39,,205,,,Ninane V; Geltner C; Bezzi M; Foccoli P; Gottlieb J; Welte T
200,"Wood DE, Nader DA, Springmeyer SC, Elstad MR, Coxson HO, CA. Team. The IBV Valve trial: a multicenter, randomized, double-blind trial of endobronchial therapy for severe emphysema. J Bronchology Interv Pulmonol. 2014;21:206.","Team. The IBV Valve trial: a multicenter, randomized, double-blind trial of endobronchial therapy for severe emphysema",J Bronchology Interv Pulmonol,2014,21,,206,,,Wood DE; Nader DA; Springmeyer SC; Elstad MR; Coxson HO; CA
201,"Eberhardt R, Gompelmann D, Schuhmann M, Reinhardt H, Ernst A, Heussel CP. Complete unilateral vs partial bilateral endoscopic lung volume reduction in patients with bilateral lung emphysema. Chest. 2012;142:207.",Complete unilateral vs partial bilateral endoscopic lung volume reduction in patients with bilateral lung emphysema,Chest,2012,142,,207,,,Eberhardt R; Gompelmann D; Schuhmann M; Reinhardt H; Ernst A; Heussel CP
202,"Herth F, Slebos DJ, Criner GJ, Shah PL. Endoscopic lung volume reduction: an expert panel recommendation. Update 2017. Respiration. 2017;94:208.",Endoscopic lung volume reduction: an expert panel recommendation. Update 2017,Respiration,2017,94,,208,,,Herth F; Slebos DJ; Criner GJ; Shah PL
203,"Herth FJ, Eberhardt R, Gompelmann D, Ficker JH, Wagner M, Ek L. Radiological and clinical outcomes of using Chartis™ to plan endobronchial valve treatment. Eur Respir J. 2013;41:209.",Radiological and clinical outcomes of using Chartis™ to plan endobronchial valve treatment,Eur Respir J,2013,41,,209,,,Herth FJ; Eberhardt R; Gompelmann D; Ficker JH; Wagner M; Ek L
204,"Kemp SV, Slebos DJ, Kirk A, Kornaszewska M, Carron K, Ek L. A multicenter randomized controlled trial of zephyr endobronchial valve treatment in heterogeneous emphysema (TRANSFORM). Am J Respir Crit Care Med. 2017;196:210.",A multicenter randomized controlled trial of zephyr endobronchial valve treatment in heterogeneous emphysema (TRANSFORM),Am J Respir Crit Care Med,2017,196,,210,,,Kemp SV; Slebos DJ; Kirk A; Kornaszewska M; Carron K; Ek L
205,"Klooster K, Ten Hacken NH, Hartman JE, Kerstjens HA, Van Rikxoort EM, Slebos DJ. Endobronchial valves for emphysema without interlobar collateral ventilation. N Engl J Med. 2015;373:211.",Endobronchial valves for emphysema without interlobar collateral ventilation,N Engl J Med,2015,373,,211,,,Klooster K; Ten Hacken NH; Hartman JE; Kerstjens HA; Van Rikxoort EM; Slebos DJ
206,"Valipour A, Slebos DJ, Herth F, Darwiche K, Wagner M, Ficker JH. IMPACT Study Team. Endobronchial valve therapy in patients with homogeneous emphysema: results from the IMPACT study. Am J Respir Crit Care Med. 2016;194:212.",IMPACT Study Team. Endobronchial valve therapy in patients with homogeneous emphysema: results from the IMPACT study,Am J Respir Crit Care Med,2016,194,,212,,,Valipour A; Slebos DJ; Herth F; Darwiche K; Wagner M; Ficker JH
207,"Valipour A, Slebos DJ, De Oliveira HG, Eberhardt R, Freitag L, Criner GJ. Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema: potential mechanisms, treatment algorithm, and case examples. Respiration. 2014;87:213.","Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema: potential mechanisms, treatment algorithm, and case examples",Respiration,2014,87,,213,,,Valipour A; Slebos DJ; De Oliveira HG; Eberhardt R; Freitag L; Criner GJ
208,"Gompelmann D, Benjamin N, Bischoff E, Kontogianni K, Schuhmann M, Hoffmann H. Survival after endoscopic valve therapy in patients with severe emphysema. Respiration. 2019;97:214.",Survival after endoscopic valve therapy in patients with severe emphysema,Respiration,2019,97,,214,,,Gompelmann D; Benjamin N; Bischoff E; Kontogianni K; Schuhmann M; Hoffmann H
209,"Slebos DJ, Cicenia J, Sciurba FC, Criner GJ, Hartman JE, Garner J. Predictors of response to endobronchial coil therapy in patients with advanced emphysema. Chest. 2019;155:215.",Predictors of response to endobronchial coil therapy in patients with advanced emphysema,Chest,2019,155,,215,,,Slebos DJ; Cicenia J; Sciurba FC; Criner GJ; Hartman JE; Garner J
210,"Herth F, Slebos DJ, Criner GJ, Valipour A, Sciurba F, Shah PL. Endoscopic lung volume reduction: an expert panel recommendation. Update 2019. Respiration. 2019;97:216.",Endoscopic lung volume reduction: an expert panel recommendation. Update 2019,Respiration,2019,97,,216,,,Herth F; Slebos DJ; Criner GJ; Valipour A; Sciurba F; Shah PL
211,"Slebos DJ, Hacken T, Hetzel NH, Herth M, Shah F, PL. Endobronchial coils for endoscopic lung volume reduction: best practice recommendations from an expert panel. Respiration. 2018;96:217.",Endobronchial coils for endoscopic lung volume reduction: best practice recommendations from an expert panel,Respiration,2018,96,,217,,,Slebos DJ; Hacken T; Hetzel NH; Herth M; Shah F; PL
212,"Sciurba FC, Criner GJ, Strange C, Shah PL, Michaud G, Connolly TA. Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial. JAMA. 2016;315:218.",Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial,JAMA,2016,315,,218,,,Sciurba FC; Criner GJ; Strange C; Shah PL; Michaud G; Connolly TA
213,"Van Geffen WH, Slebos DJ, Herth FJ, Kemp SV, Weder W, Shah PL. Surgical and endoscopic interventions that reduce lung volume for emphysema: a systemic review and meta-analysis. Lancet Respir Med. 2019;7:219.",Surgical and endoscopic interventions that reduce lung volume for emphysema: a systemic review and meta-analysis,Lancet Respir Med,2019,7,,219,,,Van Geffen WH; Slebos DJ; Herth FJ; Kemp SV; Weder W; Shah PL
214,"Klooster K, Hacken T, Franz NH et al.. Lung volume reduction coil treatment in chronic obstructive pulmonary disease patients with homogeneous emphysema: a prospective feasibility trial. J Thorac Dis. 2012;88:222.",Lung volume reduction coil treatment in chronic obstructive pulmonary disease patients with homogeneous emphysema: a prospective feasibility trial,J Thorac Dis,2012,88,,222,,,Klooster K; Hacken T; Franz NH; Kerstjens I; Van Rikxoort HA; Slebos EM; Welling D; Slebos J; Slebos DJ; Klooster DJ; Ernst K; Herth A; Kerstjens F; H
215,"Slebos DJ, Hartman JE, Klooster K, Blaas S, Deslee G, Gesierich W. Bronchoscopic coil treatment for patients with severe emphysema: a meta-analysis. Respiration. 2015;90:223.",Bronchoscopic coil treatment for patients with severe emphysema: a meta-analysis,Respiration,2015,90,,223,,,Slebos DJ; Hartman JE; Klooster K; Blaas S; Deslee G; Gesierich W
216,"Desl Ée G, Mal H, Dutau H, Bourdin A, Vergnon JM, Pison C. Lung volume reduction coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial. JAMA. 2016;315:224.",Lung volume reduction coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial,JAMA,2016,315,,224,,,Desl Ée G; Mal H; Dutau H; Bourdin A; Vergnon JM; Pison C
217,"Shah PL, Zoumot Z, Singh S, Bicknell SR, Ross ET, Quiring J. RESET trial Study Group. Endobronchial coils for the treatment of severe emphysema with hyperinflation (RESET): a randomised controlled trial. Lancet Respir Med. 2013;1:225.",RESET trial Study Group. Endobronchial coils for the treatment of severe emphysema with hyperinflation (RESET): a randomised controlled trial,Lancet Respir Med,2013,1,,225,,,Shah PL; Zoumot Z; Singh S; Bicknell SR; Ross ET; Quiring J
218,"Hartman JE, Klooster K, Gortzak K, Ten Hacken NH, Slebos DJ. Longterm follow-up after bronchoscopic lung volume reduction treatment with coils in patients with severe emphysema. Respirology. 2015;20.",Longterm follow-up after bronchoscopic lung volume reduction treatment with coils in patients with severe emphysema,Respirology,2015,20,,,,,Hartman JE; Klooster K; Gortzak K; Ten Hacken NH; Slebos DJ
219,"Valipour A, Shah PL, Gesierich W, Eberhardt R, Snell G, Strange C. Patterns of emphysema heterogeneity. Respiration. 2015;90:229.",Patterns of emphysema heterogeneity,Respiration,2015,90,,229,,,Valipour A; Shah PL; Gesierich W; Eberhardt R; Snell G; Strange C
220,"Gompelmann D, Shah PL, Valipour A, Herth F. Bronchoscopic thermal vapor ablation: best practice recommendations from an expert panel on endoscopic lung volume reduction. Respiration. 2018;95:230.",Bronchoscopic thermal vapor ablation: best practice recommendations from an expert panel on endoscopic lung volume reduction,Respiration,2018,95,,230,,,Gompelmann D; Shah PL; Valipour A; Herth F
